Date Time,DO conc (mg/L)  #21429547,Temp (Â°C)  #21429547,DO Adj Conc (mg/L) c:1 2,DO Percent Sat (%),Salinity (ppt)
2024-04-09T11:50:00Z,8.46,24.08,NA,NA,NA
2024-04-09T11:55:00Z,9.14,21.64,7.82,105.5,29.5771
2024-04-09T12:00:00Z,9.48,20.72,8.1,107.5,29.5316
2024-04-09T12:05:00Z,9.56,20.64,8.17,108.2,29.542
2024-04-09T12:10:00Z,9.68,20.64,8.27,109.6,29.5458
2024-04-09T12:15:00Z,9.7,20.64,8.29,109.8,29.5904
2024-04-09T12:20:00Z,9.73,20.6,8.31,110.1,29.6703
2024-04-09T12:25:00Z,9.62,20.5,8.21,108.6,29.7408
2024-04-09T12:30:00Z,9.71,20.4,8.29,109.5,29.7927
2024-04-09T12:35:00Z,9.73,20.44,8.31,109.8,29.766
2024-04-09T12:40:00Z,9.68,20.4,8.26,109.1,29.825
2024-04-09T12:45:00Z,9.47,20.42,8.08,106.8,29.8073
2024-04-09T12:50:00Z,9.3,20.32,7.93,104.7,29.8733
2024-04-09T12:55:00Z,9.78,20.52,8.35,110.5,29.7209
2024-04-09T13:00:00Z,9.75,20.44,8.32,110,29.9007
2024-04-09T13:05:00Z,10,20.68,8.55,113.4,29.5587
2024-04-09T13:10:00Z,9.77,21.12,8.36,111.7,29.5319
2024-04-09T13:15:00Z,10.1,21.1,8.65,115.5,29.3968
2024-04-09T13:20:00Z,10.24,21.34,8.78,117.6,29.2151
2024-04-09T13:25:00Z,10.45,21.14,8.95,119.6,29.4909
2024-04-09T13:30:00Z,10.5,21.34,9,120.6,29.2974
2024-04-09T13:35:00Z,10.55,21.26,9.04,121,29.3816
2024-04-09T13:40:00Z,10.57,21.24,9.06,121.2,29.382
2024-04-09T13:45:00Z,10.67,21.42,9.17,122.8,28.9878
2024-04-09T13:50:00Z,10.64,21.5,9.13,122.6,29.1618
2024-04-09T13:55:00Z,10.59,21.34,9.08,121.7,29.2899
2024-04-09T14:00:00Z,10.62,21.7,9.12,122.9,29.0539
2024-04-09T14:05:00Z,10.53,22.02,9.06,122.6,28.898
2024-04-09T14:10:00Z,10.45,22.12,8.99,121.9,28.87
2024-04-09T14:15:00Z,10.42,21.96,8.96,121.2,28.9464
2024-04-09T14:20:00Z,10.73,21.72,9.21,124.2,29.1792
2024-04-09T14:25:00Z,11.01,21.88,9.47,127.9,28.9696
2024-04-09T14:30:00Z,10.79,22,9.28,125.6,28.9346
2024-04-09T14:35:00Z,10.7,22.14,9.21,124.9,28.8272
2024-04-09T14:40:00Z,10.75,22.34,9.26,126,28.7284
2024-04-09T14:45:00Z,10.73,22.54,9.26,126.2,28.6198
2024-04-09T14:50:00Z,10.74,22.68,9.27,126.7,28.5431
2024-04-09T14:55:00Z,10.72,22.86,9.26,126.9,28.4282
2024-04-09T15:00:00Z,10.64,22.98,9.2,126.2,28.306
2024-04-09T15:05:00Z,10.58,23.24,9.16,126.2,28.1486
2024-04-09T15:10:00Z,10.59,23.48,9.18,126.9,27.9663
2024-04-09T15:15:00Z,10.34,23.58,8.97,124.1,27.9489
2024-04-09T15:20:00Z,10.13,23.6,8.79,121.6,27.8984
2024-04-09T15:25:00Z,10.13,23.4,8.78,121.2,28.085
2024-04-09T15:30:00Z,10.19,23.26,8.83,121.6,28.14
2024-04-09T15:35:00Z,10.15,23.58,8.81,121.8,27.8
2024-04-09T15:40:00Z,10.15,23.52,8.8,121.7,28.0189
2024-04-09T15:45:00Z,10.07,23.64,8.74,121,27.8201
2024-04-09T15:50:00Z,9.86,23.58,8.56,118.4,27.8721
2024-04-09T15:55:00Z,9.94,23.38,8.62,118.9,28.0564
2024-04-09T16:00:00Z,9.7,23.3,8.41,115.8,28.0693
2024-04-09T16:05:00Z,9.49,23.14,8.22,113,28.1939
2024-04-09T16:10:00Z,9.8,22.8,8.47,115.9,28.424
2024-04-09T16:15:00Z,10.01,22.56,8.64,117.9,28.5689
2024-04-09T16:20:00Z,9.99,22.5,8.62,117.5,28.6044
2024-04-09T16:25:00Z,9.93,22.44,8.57,116.7,28.5998
2024-04-09T16:30:00Z,9.72,22.38,8.39,114.1,28.6348
2024-04-09T16:35:00Z,10.13,22.26,8.74,118.6,28.721
2024-04-09T16:40:00Z,9.92,22.4,8.57,116.5,28.4932
2024-04-09T16:45:00Z,9.82,22.52,8.49,115.6,28.5018
2024-04-09T16:50:00Z,9.86,22.44,8.52,115.9,28.5305
2024-04-09T16:55:00Z,9.83,22.4,8.49,115.5,28.5288
2024-04-09T17:00:00Z,9.45,22.38,8.16,111,28.5691
2024-04-09T17:05:00Z,9.72,22.24,8.39,113.8,28.7181
2024-04-09T17:10:00Z,9.64,22.32,8.32,113.1,28.6188
2024-04-09T17:15:00Z,9.56,22.28,8.25,112.1,28.6145
2024-04-09T17:20:00Z,9.37,22.3,8.09,109.9,28.6203
2024-04-09T17:25:00Z,8.91,22.2,7.69,104.3,28.6506
2024-04-09T17:30:00Z,9.42,22.14,8.13,110.1,28.7403
2024-04-09T17:35:00Z,9.3,22.02,8.02,108.5,28.844
2024-04-09T17:40:00Z,9.36,21.96,8.07,109.1,28.8599
2024-04-09T17:45:00Z,9.22,21.9,7.95,107.3,28.8755
2024-04-09T17:50:00Z,9.22,21.84,7.95,107.2,28.9026
2024-04-09T17:55:00Z,9.28,21.8,7.99,107.8,28.9661
2024-04-09T18:00:00Z,9.34,21.72,8.04,108.3,29.0224
2024-04-09T18:05:00Z,9.33,21.66,8.03,108.1,29.0199
2024-04-09T18:10:00Z,9.29,21.48,7.99,107.3,29.1823
2024-04-09T18:15:00Z,9.27,21.38,7.97,106.8,29.1918
2024-04-09T18:20:00Z,9.32,21.22,8.01,107.1,29.2932
2024-04-09T18:25:00Z,9.34,21,8.02,106.9,29.4514
2024-04-09T18:30:00Z,9.38,20.8,8.05,106.9,29.5341
2024-04-09T18:35:00Z,9.54,20.62,8.17,108.3,29.6849
2024-04-09T18:40:00Z,9.56,20.48,8.19,108.3,29.7367
2024-04-09T18:45:00Z,9.59,20.38,8.21,108.4,29.7885
2024-04-09T18:50:00Z,9.59,20.34,8.21,108.3,29.8222
2024-04-09T18:55:00Z,9.54,20.32,8.17,107.7,29.8159
2024-04-09T19:00:00Z,9.37,20.32,8.02,105.8,29.8261
2024-04-09T19:05:00Z,9.16,20.34,7.84,103.5,29.8058
2024-04-09T19:10:00Z,9.18,20.34,7.86,103.7,29.8371
2024-04-09T19:15:00Z,9.02,20.34,7.72,101.9,29.8332
2024-04-09T19:20:00Z,9.1,20.86,7.82,103.9,29.3605
2024-04-09T19:25:00Z,9.08,20.88,7.79,103.7,29.5149
2024-04-09T19:30:00Z,9.03,20.74,7.75,102.8,29.5822
2024-04-09T19:35:00Z,8.95,20.78,7.68,102,29.4931
2024-04-09T19:40:00Z,8.84,20.92,7.59,101,29.4159
2024-04-09T19:45:00Z,8.73,21.04,7.51,100,29.2979
2024-04-09T19:50:00Z,8.61,21.28,7.42,99.1,28.9117
2024-04-09T19:55:00Z,8.51,21.58,7.34,98.5,28.9113
2024-04-09T20:00:00Z,8.52,21.62,7.35,98.7,28.8504
2024-04-09T20:05:00Z,8.47,21.64,7.31,98.2,28.9004
2024-04-09T20:10:00Z,8.39,21.56,7.23,97.1,28.9695
2024-04-09T20:15:00Z,8.41,21.48,7.25,97.2,28.9905
2024-04-09T20:20:00Z,8.39,21.48,7.23,97,28.9553
2024-04-09T20:25:00Z,8.27,21.44,7.13,95.5,29.0432
2024-04-09T20:30:00Z,8.19,21.38,7.06,94.5,29.0798
2024-04-09T20:35:00Z,8.15,21.24,7.02,93.8,29.1344
2024-04-09T20:40:00Z,8,21.3,6.89,92.2,29.0744
2024-04-09T20:45:00Z,8,21.36,6.9,92.3,29.0229
2024-04-09T20:50:00Z,7.98,21.3,6.89,91.9,28.731
2024-04-09T20:55:00Z,7.93,21.36,6.84,91.5,28.9492
2024-04-09T21:00:00Z,7.64,21.36,6.61,88.1,28.4052
2024-04-09T21:05:00Z,7.71,21.58,6.68,89.3,28.2792
2024-04-09T21:10:00Z,7.76,21.54,6.71,89.8,28.6676
2024-04-09T21:15:00Z,7.56,21.42,6.56,87.3,27.925
2024-04-09T21:20:00Z,7.5,21.44,6.51,86.7,27.7784
2024-04-09T21:25:00Z,7.42,21.56,6.45,86,27.7255
2024-04-09T21:30:00Z,7.44,21.7,6.45,86.4,28.1549
2024-04-09T21:35:00Z,7.16,21.88,6.2,83.5,28.3062
2024-04-09T21:40:00Z,6.88,21.86,5.96,80.2,28.3906
2024-04-09T21:45:00Z,7.39,21.76,6.39,86,28.6195
2024-04-09T21:50:00Z,7.41,21.7,6.41,86.1,28.6356
2024-04-09T21:55:00Z,7.32,21.64,6.33,84.9,28.7144
2024-04-09T22:00:00Z,7.17,21.48,6.22,83,28.1199
2024-04-09T22:05:00Z,7.83,21.74,6.78,91.1,28.3559
2024-04-09T22:10:00Z,7.67,21.94,6.66,89.5,28.1351
2024-04-09T22:15:00Z,7.17,21.92,6.22,83.7,28.2368
2024-04-09T22:20:00Z,7.52,21.86,6.52,87.7,28.3915
2024-04-09T22:25:00Z,7.36,21.78,6.37,85.7,28.5538
2024-04-09T22:30:00Z,7.59,21.66,6.57,88.1,28.6212
2024-04-09T22:35:00Z,7.74,21.7,6.7,90,28.606
2024-04-09T22:40:00Z,7.7,21.7,6.66,89.5,28.5894
2024-04-09T22:45:00Z,8.05,21.7,6.96,93.6,28.6487
2024-04-09T22:50:00Z,8.06,21.78,6.98,93.8,28.4748
2024-04-09T22:55:00Z,8.49,21.86,7.35,99,28.5667
2024-04-09T23:00:00Z,8.47,22.06,7.35,99.2,28.2912
2024-04-09T23:05:00Z,8.37,22.24,7.27,98.3,28.1623
2024-04-09T23:10:00Z,8.29,22.36,7.2,97.6,28.1358
2024-04-09T23:15:00Z,8.53,22.36,7.41,100.4,28.1015
2024-04-09T23:20:00Z,8.38,22.28,7.27,98.5,28.2441
2024-04-09T23:25:00Z,8.33,22.26,7.23,97.9,28.3015
2024-04-09T23:30:00Z,8.79,22.28,7.63,103.4,28.2753
2024-04-09T23:35:00Z,8.65,22.36,7.51,101.9,28.2369
2024-04-09T23:40:00Z,8.61,22.38,7.48,101.4,28.2312
2024-04-09T23:45:00Z,8.38,22.38,7.27,98.7,28.2913
2024-04-09T23:50:00Z,8.59,22.24,7.45,100.9,28.4054
2024-04-09T23:55:00Z,8.6,22.12,7.45,100.8,28.5682
2024-04-10T00:00:00Z,8.83,21.78,7.64,102.9,28.7749
2024-04-10T00:05:00Z,8.95,21.48,7.73,103.7,28.9508
2024-04-10T00:10:00Z,9.21,21.42,7.96,106.6,28.8761
2024-04-10T00:15:00Z,9.13,21.5,7.89,105.8,29.0152
2024-04-10T00:20:00Z,9.07,21.54,7.84,105.2,28.9915
2024-04-10T00:25:00Z,9.22,21.36,7.96,106.6,29.1293
2024-04-10T00:30:00Z,9.37,21.52,8.1,108.6,28.9249
2024-04-10T00:35:00Z,9.62,21.74,8.32,112,28.8279
2024-04-10T00:40:00Z,9.61,21.68,8.31,111.8,28.8654
2024-04-10T00:45:00Z,9.58,21.62,8.29,111.3,28.8422
2024-04-10T00:50:00Z,9.58,21.54,8.28,111.1,28.9233
2024-04-10T00:55:00Z,9.66,21.48,8.35,111.9,28.9466
2024-04-10T01:00:00Z,9.35,21.46,8.08,108.3,28.9925
2024-04-10T01:05:00Z,9.21,21.42,7.96,106.6,29.0594
2024-04-10T01:10:00Z,9.22,21.36,7.96,106.6,29.1346
2024-04-10T01:15:00Z,9.57,21.32,8.26,110.6,29.186
2024-04-10T01:20:00Z,9.54,21.36,8.23,110.3,29.1987
2024-04-10T01:25:00Z,9.44,21.42,8.15,109.3,29.1092
2024-04-10T01:30:00Z,9.45,21.42,8.16,109.4,29.2341
2024-04-10T01:35:00Z,9.96,21.62,8.61,115.8,28.9344
2024-04-10T01:40:00Z,10.01,22.24,8.68,117.7,28.6491
2024-04-10T01:45:00Z,9.67,21.7,8.36,112.6,29.0425
2024-04-10T01:50:00Z,9.97,21.66,8.62,116,28.9784
2024-04-10T01:55:00Z,10.2,21.74,8.83,118.8,28.871
2024-04-10T02:00:00Z,10.25,22.1,8.89,120.3,28.6428
2024-04-10T02:05:00Z,10.22,22.16,8.86,120.1,28.712
2024-04-10T02:10:00Z,10.48,22.18,9.09,123.2,28.6336
2024-04-10T02:15:00Z,10.47,22.26,9.08,123.2,28.5689
2024-04-10T02:20:00Z,10.44,22.34,9.06,123.1,28.5175
2024-04-10T02:25:00Z,10.33,22.36,8.97,121.8,28.5222
2024-04-10T02:30:00Z,10.43,22.58,9.07,123.5,28.3653
2024-04-10T02:35:00Z,10.41,22.62,9.05,123.4,28.4042
2024-04-10T02:40:00Z,10.54,22.6,9.16,124.9,28.3124
2024-04-10T02:45:00Z,10.41,22.62,9.05,123.4,28.3592
2024-04-10T02:50:00Z,10.51,22.74,9.15,124.9,28.1767
2024-04-10T02:55:00Z,10.52,22.86,9.16,125.3,28.1614
2024-04-10T03:00:00Z,10.41,23.02,9.08,124.4,27.8574
2024-04-10T03:05:00Z,10.42,23.26,9.09,125.1,27.8941
2024-04-10T03:10:00Z,10.46,23.44,9.13,126,27.7908
2024-04-10T03:15:00Z,10.35,23.56,9.04,124.9,27.7356
2024-04-10T03:20:00Z,10.4,23.84,9.1,126.2,27.5368
2024-04-10T03:25:00Z,10.35,23.96,9.06,125.9,27.5061
2024-04-10T03:30:00Z,10.37,24.32,9.1,127,27.0723
2024-04-10T03:35:00Z,10.23,24.44,8.98,125.6,27.174
2024-04-10T03:40:00Z,10.19,24.6,8.95,125.4,27.1327
2024-04-10T03:45:00Z,10.05,24.66,8.83,123.9,27.0783
2024-04-10T03:50:00Z,9.92,24.56,8.71,122,27.1534
2024-04-10T03:55:00Z,9.81,24.5,8.61,120.6,27.1648
2024-04-10T04:00:00Z,9.69,24.52,8.51,119.1,27.1594
2024-04-10T04:05:00Z,9.62,24.62,8.45,118.5,27.0874
2024-04-10T04:10:00Z,9.38,24.56,8.23,115.4,27.2141
2024-04-10T04:15:00Z,9.06,24.16,7.94,110.7,27.43
2024-04-10T04:20:00Z,8.64,24.18,7.57,105.6,27.3856
2024-04-10T04:25:00Z,8.8,24.12,7.71,107.4,27.4841
2024-04-10T04:30:00Z,8.94,23.98,7.82,108.8,27.6396
2024-04-10T04:35:00Z,8.68,23.9,7.59,105.5,27.7
