site,SN,model,type,start_date,end_date
W12A,,,,,
W12A,,,,,
E33,,,,,
E33,,,,,
SR4,,,,,
SR4,,,,,
AB2,,,,,
AB2,,,,,
WR6,,,,,
WR6,,,,,
OB1,21415528,U24,Cond,5/7/24,5/21/24
OB1,20882470,U24,Cond,5/21/24,
OB1,21984863,U26,DO,5/7/24,
OB2,21742583,U24,Cond,5/7/24,
OB2,21755291,U26,DO,5/7/24,
OB3,21958394,U24,Cond,5/7/24,
OB3,21755293,U26,DO,5/7/24,
BD1,21095959,U24,Cond,5/14/24,
BD1,21429547,U26,DO,5/14/24,
SB2X,21958393,U24,Cond,5/7/24,
SB2X,21984864,U26,DO,5/7/24,
OB9,21742584,U24,Cond,5/7/24,
OB9,21755292,U26,DO,5/7/24,
RB1,,,,,
RB1,,,,,
WH1X,,,,,
WH1X,,,,,
HB3A,,,,,
HB3A,,,,,
QH2,,,,,
QH2,,,,,
TSH8,,,,,
TSH8,,,,,
JMS3,,,,,
JMS3,,,,,
M44,,,,,
M44,,,,,
S33,,,,,
S33,,,,,
S36,,,,,
S36,,,,,